ID,Long,Lat,Source,Network,Intensity,PGA,PGV,Distance,VS30,HNZ_PGA,HNN_PGA,HNE_PGA,HNZ_PGV,HNN_PGV,HNE_PGV,HNZ_sa(0.3),HNN_sa(0.3),HNE_sa(0.3),HNZ_sa(1.0),HNN_sa(1.0),HNE_sa(1.0),HNZ_sa(3.0),HNN_sa(3.0),HNE_sa(3.0)
NC.C064,-122.18460,37.80510,NC,NC,2.4,0.042,0.1997,448.685,760.0,0.0225,0.0420,0.0313,0.1129,0.1997,0.1546,0.0229,0.0466,0.0348,0.0456,0.0788,0.0668,0.0476,0.0839,0.0792
NC.H002,-121.64740,36.87710,NC,NC,2.9,0.1298,0.4799,366.785,324.75,0.0589,0.1298,0.1102,0.2582,0.4173,0.4799,0.0711,0.1658,0.1270,0.1900,0.2612,0.5836,0.0616,0.3740,0.2110
NC.J012,-122.10690,37.40600,NC,NC,3.2,0.1992,0.7689,424.322,320.57,0.0514,0.1077,0.1992,0.1270,0.3989,0.7689,0.0512,0.1073,0.2045,0.0970,0.2648,0.4526,0.0754,0.2781,0.7871
NC.J035,-122.37800,37.55780,NC,NC,2.2,0.0412,0.1618,452.809,760.0,0.0217,0.0412,0.0342,0.1031,0.1618,0.1345,0.0233,0.0451,0.0443,0.0562,0.0970,0.1029,0.0843,0.1102,0.0921
NC.J039,-122.45300,37.62100,NC,NC,2,0.0268,0.1076,461.603,760.0,0.0200,0.0268,0.0240,0.0933,0.1076,0.0912,0.0223,0.0300,0.0226,0.0354,0.0532,0.0606,0.0562,0.0599,0.0562
NC.J051,-122.00780,37.31290,NC,NC,3.3,0.1854,0.8285,412.412,415.81,0.1170,0.1854,0.1703,0.3764,0.8285,0.6400,0.1416,0.1984,0.1757,0.2742,0.2813,0.3226,0.2092,0.4543,0.3067
AZ.BZN,-116.66700,33.49150,AZ,AZ,3.9,0.6706,2.2752,239.843,591.12,0.4804,0.6706,0.5206,0.6272,0.9444,2.2752,1.3270,2.9917,1.0313,0.4746,1.1059,0.7079,0.2174,0.2697,0.5088
AZ.CRY,-116.73730,33.56540,AZ,AZ,3.8,0.5454,1.9267,230.247,559.02,0.2541,0.5220,0.5454,0.7893,0.9151,1.9267,0.5637,1.4536,1.1444,0.6875,0.7786,0.9182,0.1850,0.1866,0.3485
AZ.CSLB,-118.11230,33.77990,AZ,AZ,5.2,1.5657,7.1687,210.290,286.15,0.7529,1.5657,1.3325,3.4379,7.0829,7.1687,0.9007,1.7650,1.4082,1.1108,3.2278,4.9829,1.6763,2.5640,3.8142
AZ.FRD,-116.60220,33.49470,AZ,AZ,3.9,0.5038,2.2429,241.172,351.39,0.2659,0.3016,0.5038,0.6068,0.8022,2.2429,0.4368,0.7910,0.8917,0.5378,0.7396,0.9044,0.1625,0.3033,0.4781
AZ.GARR,-116.67080,33.59180,AZ,AZ,3.2,0.3524,0.7642,229.048,729.75,0.1920,0.3524,0.3411,0.5135,0.7642,0.7055,0.2766,0.6084,0.4765,0.8769,0.8448,1.5663,0.1848,0.3891,0.2787
AZ.HSSP,-116.66410,33.58470,AZ,AZ,3.5,0.432,1.0995,229.976,397.41,0.2196,0.3228,0.4320,0.4313,0.8047,1.0995,0.3729,0.4220,0.5378,0.8229,0.8813,0.7617,0.1246,0.3068,0.3342
AZ.LVA2,-116.56150,33.35160,AZ,AZ,4.1,0.6541,3.124,257.450,685.63,0.2416,0.4241,0.6541,0.6848,0.8733,3.1240,0.7128,0.9164,1.0859,0.7281,1.4058,2.6581,0.1886,0.2248,0.6890
AZ.MONP2,-116.42230,32.89200,AZ,AZ,3.5,0.3244,1.1973,309.966,712.65,0.1017,0.1838,0.3244,0.7973,0.7718,1.1973,0.2455,0.3464,0.5428,0.2104,0.3736,0.6934,0.2005,0.1818,0.2528
AZ.MTRP,-117.05670,32.82030,AZ,AZ,3.2,0.1379,0.7744,306.728,573.9,0.1042,0.0913,0.1379,0.5668,0.3709,0.7744,0.2786,0.2172,0.3435,0.1797,0.1784,0.2138,0.1432,0.1018,0.2663
AZ.PFO,-116.45940,33.61170,AZ,AZ,3.9,0.4546,2.2502,233.153,738.3,0.2533,0.3131,0.4546,0.6449,0.9041,2.2502,0.5709,0.4778,0.5683,0.3180,0.5274,0.9012,0.2145,0.2875,0.7123
AZ.RDM,-116.84780,33.63000,AZ,AZ,3.6,0.5805,1.2939,220.902,720.09,0.3323,0.4181,0.5805,0.7391,1.0572,1.2939,1.0191,1.1137,1.3453,0.7318,0.4342,0.3643,0.1794,0.2907,0.4021
AZ.SCI2,-118.48790,32.91500,AZ,AZ,3.3,0.214,0.8835,312.279,595.77,0.1025,0.2140,0.1419,0.5199,0.6242,0.8835,0.1680,0.3379,0.3341,0.1699,0.3588,0.3556,0.1523,0.2897,0.2009
AZ.SETM,-116.56150,33.50970,AZ,AZ,2.5,Null,0.2372,240.706,717.3,0.0822,0.0789,0.0679,0.2503,0.2372,0.2308,0.1310,0.1199,0.1434,0.2037,0.1981,0.1722,0.0690,0.1080,0.0990
AZ.SGBF,-116.59290,33.53650,AZ,AZ,2.8,0.117,0.4083,236.996,730.73,0.0603,0.1170,0.1122,0.1372,0.4083,0.3287,0.0887,0.2334,0.1699,0.1863,0.2322,0.2672,0.0563,0.1854,0.1156
AZ.SMER,-117.17080,33.45770,AZ,AZ,3.4,0.3444,0.9692,235.450,728.34,0.0585,0.0489,0.0623,0.1467,0.1884,0.1894,0.0874,0.0813,0.1366,0.0854,0.1241,0.1042,0.0982,0.1058,0.0672
AZ.SND,-116.61290,33.55190,AZ,AZ,4.1,1.024,2.8202,234.817,738.58,0.4654,0.6552,1.0240,0.9496,0.8995,2.8202,0.9805,2.4483,2.9883,1.0317,0.9555,1.4818,0.2473,0.2318,0.7865
AZ.TRAN,-116.58340,33.49550,AZ,AZ,2.6,Null,0.274,241.597,385.32,0.0453,0.0643,0.0407,0.1576,0.2740,0.1594,0.0741,0.0822,0.0485,0.1350,0.1261,0.1088,0.0484,0.1221,0.0557
AZ.TRO,-116.42570,33.52340,AZ,AZ,4.1,1.4894,2.8676,243.414,741.03,0.3100,1.4894,1.2338,0.8103,1.7268,2.8676,0.7087,3.2983,3.4465,0.6383,2.5751,2.8571,0.1522,0.3462,1.0334
AZ.TUBB,-116.40910,33.21010,AZ,AZ,2.8,0.0812,0.3818,276.666,699.63,0.0592,0.0812,0.0759,0.2145,0.3818,0.1792,0.1111,0.1363,0.1279,0.1185,0.1533,0.2550,0.0933,0.1363,0.0750
AZ.WMC,-116.67470,33.57360,AZ,AZ,2.9,0.1733,0.4557,230.887,525.17,0.0868,0.1453,0.1733,0.2370,0.4299,0.4557,0.2276,0.2414,0.2885,0.1337,0.3344,0.3609,0.0950,0.1871,0.2156
BC.CBX,-116.66360,32.31310,BC,BC,3.3,0.3225,0.8029,367.378,729.86,0.1399,0.3225,0.5794,0.7137,0.8029,1.0084,0.6125,0.6902,0.9981,0.1912,0.8000,1.2297,0.2691,0.3633,0.5523
BC.CPX,-115.30500,32.41950,BC,BC,3.9,0.2961,2.1094,398.301,458.21,0.1178,0.2112,0.2961,0.3630,0.7986,2.1094,0.1570,0.2587,0.4185,0.1405,0.4932,0.4182,0.2033,0.3453,0.6646
BC.GUVIX,-115.07600,32.30290,BC,BC,4,0.2648,2.4986,419.985,194.09,0.0746,0.1810,0.2648,0.3950,1.8679,2.4986,0.1029,0.2377,0.3445,0.1541,0.3197,0.4403,0.1083,0.2752,0.3962
BC.PESCX,-114.96490,32.43380,BC,BC,3.9,0.4063,2.1141,412.878,199.8,0.1046,0.3220,0.4063,0.5899,1.5424,2.1141,0.1218,0.3606,0.4939,0.1644,0.5964,0.7781,0.1050,0.2734,0.5255
BC.RMX,-116.02880,32.55350,BC,BC,3.5,0.1513,1.1585,357.036,516.02,0.0994,0.0831,0.1513,0.6566,0.5536,1.1585,0.1271,0.1702,0.2839,0.1789,0.2387,0.2327,0.1107,0.1695,0.2430
BC.SJX,-115.94800,32.00480,BC,BC,3.5,0.1352,1.1869,416.949,341.18,0.0708,0.0723,0.1352,0.3266,0.6315,1.1869,0.1182,0.0904,0.1912,0.1585,0.1544,0.3436,0.1124,0.1431,0.1784
BC.SLRCX,-114.70490,32.45790,BC,BC,3.8,0.439,1.852,424.047,203.88,0.1218,0.3138,0.4390,0.6444,1.4567,1.8520,0.1828,0.4632,0.5294,0.2432,0.6606,0.9938,0.2921,0.6858,0.7705
BC.TJX,-117.05430,32.51017,BC,BC,3.6,0.4376,1.3193,340.962,528.25,0.2266,0.3759,0.4376,0.4546,1.3193,1.0446,0.5088,0.6748,0.5211,0.4234,0.8157,1.1791,0.1985,0.6536,0.5548
BC.TKX,-116.60750,32.56870,BC,BC,3.2,0.2463,0.7648,340.578,219.52,0.1075,0.1381,0.2463,0.5335,0.4396,0.7648,0.2857,0.4877,0.4716,0.1171,0.1238,0.3733,0.1167,0.1147,0.1348
BK.BDM,-121.86554,37.95397,BK,BK,3.2,0.1208,0.7868,431.942,465.28,0.0799,0.1208,0.1047,0.2016,0.7868,0.4988,0.1070,0.1340,0.1300,0.1791,0.2887,0.2462,0.0654,0.1724,0.1722
BK.BKS,-122.23558,37.87622,BK,BK,2.8,0.0516,0.3769,456.241,760.0,0.0344,0.0476,0.0447,0.1228,0.3199,0.2668,0.0378,0.0606,0.0516,0.0820,0.1112,0.1291,0.0326,0.0923,0.0689
BK.BL67,-122.24320,37.87490,BK,BK,2.7,0.05,0.3136,456.769,760.0,0.0324,0.0500,0.0459,0.1302,0.3136,0.2325,0.0339,0.0597,0.0567,0.0664,0.1030,0.1010,0.0302,0.0821,0.0767
BK.BL88,-122.25430,37.87720,BK,BK,2.7,0.0605,0.3144,457.753,760.0,0.0290,0.0455,0.0605,0.1174,0.3144,0.2669,0.0466,0.0770,0.0709,0.0559,0.1125,0.1429,0.0352,0.0669,0.0883
BK.BUCR,-120.14960,37.67330,BK,BK,3.4,0.251,0.9923,291.073,715.51,0.1628,0.2085,0.2510,0.5991,0.9923,0.8494,0.3869,0.4725,0.4761,0.3445,0.5556,0.5595,0.1282,0.1864,0.1953
BK.CMB,-120.38651,38.03455,BK,BK,3.4,0.1688,1.0328,333.596,719.12,0.1107,0.1232,0.1688,0.6166,0.9494,1.0328,0.1702,0.2444,0.2304,0.1636,0.2018,0.2554,0.1001,0.1328,0.1449
BK.HULI,-121.23550,36.02130,BK,BK,3,0.1553,0.5079,315.768,430.9,0.1129,0.1386,0.1553,0.3184,0.5079,0.4352,0.1579,0.2287,0.2003,0.3687,0.4203,0.3975,0.1945,0.2049,0.2759
BK.JEPS,-121.82520,38.25790,BK,BK,3.4,0.2587,1.0128,447.014,323.22,0.1148,0.2184,0.2587,0.7135,1.0128,0.8901,0.1249,0.2481,0.2954,0.2816,0.5128,0.8820,0.1534,0.2934,0.4798
BK.JRSC,-122.23870,37.40370,BK,BK,2.7,0.0558,0.3362,435.070,760.0,0.0263,0.0558,0.0430,0.2082,0.3362,0.2336,0.0302,0.0673,0.0491,0.0657,0.0794,0.1095,0.0480,0.1055,0.0861
BK.KARE,-119.50380,36.59740,BK,BK,4.1,1.7213,2.7606,176.318,261.85,0.8941,1.7213,1.2807,0.8318,2.7606,1.8649,2.1496,5.3506,5.0752,0.9032,3.0469,1.8338,0.1715,1.7490,0.7847
